,AI,인간,사람,생각,우리,인공지능,가능,gpt,해석,발전,인류,여기,필요,만들,세상,시대,때문,기술,현실,학습,개발자,미래,정도,한글,의미,지배,기계,문장,영화,개발,모르,문제,통제,데이터,결국,터미네이터,사용,로봇,정보,암호,한국,대체,판단,속도,한국인,존재,능력,지금,사회,나오
AI,1396,953,255,165,58,41,187,208,66,104,177,13,67,96,58,69,167,59,39,117,60,53,37,7,15,64,52,4,62,87,48,45,168,53,89,26,132,23,32,17,51,64,111,45,16,48,29,43,43,46
인간,953,1104,134,309,73,172,106,38,4,78,108,26,95,47,66,82,113,96,56,86,8,69,21,0,13,78,147,5,30,63,34,22,134,23,80,20,35,30,17,0,0,48,124,24,2,60,21,31,36,31
사람,255,134,250,72,22,47,27,35,11,31,21,9,23,41,37,33,57,23,27,14,18,22,25,3,20,13,9,9,6,20,35,44,16,7,27,1,22,9,7,6,22,12,3,10,0,11,51,7,15,9
생각,165,309,72,162,41,74,38,2,4,16,34,15,30,11,32,29,33,34,22,15,15,30,14,3,4,17,79,7,6,15,13,15,24,11,6,3,10,1,15,3,1,19,22,9,1,17,18,10,10,7
우리,58,73,22,41,70,43,14,6,11,21,16,2,11,10,17,26,11,23,17,9,4,23,9,2,34,5,7,19,5,4,3,6,5,4,4,1,1,3,1,3,2,4,0,3,5,6,1,7,9,5
인공지능,41,172,47,74,43,124,18,2,5,13,29,1,24,18,28,28,5,26,25,3,6,22,18,2,6,0,13,24,14,35,8,10,6,4,10,0,8,5,2,4,4,14,27,6,4,13,3,6,13,2
가능,187,106,27,38,14,18,54,34,28,20,33,16,12,16,4,9,29,12,11,24,5,14,5,11,16,2,16,24,7,19,6,5,29,2,7,8,19,5,4,17,16,3,13,5,8,6,0,8,6,6
gpt,208,38,35,2,6,2,34,222,4,2,4,3,4,3,2,2,9,7,0,1,2,0,11,5,5,0,1,2,28,32,3,5,0,16,5,0,89,0,8,2,4,0,0,10,4,1,1,1,1,19
해석,66,4,11,4,11,5,28,4,138,0,1,88,6,5,0,0,3,1,0,14,0,0,10,29,88,1,2,111,0,0,1,0,0,4,0,0,13,1,0,11,34,0,0,0,6,0,0,1,2,2
발전,104,78,31,16,21,13,20,2,0,44,27,2,3,24,7,16,18,47,8,8,15,18,14,0,0,0,2,0,2,9,4,0,6,5,2,1,5,7,2,1,2,13,8,22,0,16,3,9,6,2
인류,177,108,21,34,16,29,33,4,1,27,48,3,7,8,12,7,46,15,8,17,0,14,9,1,2,10,10,0,5,17,6,4,23,9,11,8,8,5,2,0,0,1,8,3,2,7,4,14,8,4
여기,13,26,9,15,2,1,16,3,88,2,3,116,1,0,0,0,3,3,1,1,0,0,26,15,45,1,16,56,1,3,2,2,0,2,3,1,1,0,1,2,1,1,2,1,3,1,5,0,0,1
필요,67,95,23,30,11,24,12,4,6,3,7,1,36,6,15,23,4,16,13,2,11,14,7,1,2,4,12,0,2,6,2,5,1,0,5,0,1,8,5,4,7,4,2,1,1,9,5,4,1,2
만들,96,47,41,11,10,18,16,3,5,24,8,0,6,28,5,3,15,10,4,11,8,5,10,2,2,4,5,2,1,14,6,2,4,11,15,0,2,5,4,10,3,3,4,2,1,11,8,5,4,1
세상,58,66,37,32,17,28,4,2,0,7,12,0,15,5,30,20,1,10,9,0,3,9,5,0,1,16,3,0,3,6,2,1,3,5,2,0,1,8,4,0,1,5,1,1,1,1,0,4,5,1
시대,69,82,33,29,26,28,9,2,0,16,7,0,23,3,20,32,1,25,22,2,0,25,3,0,1,7,3,2,1,3,1,1,1,1,1,4,0,5,2,0,5,11,0,3,0,0,0,11,6,5
때문,167,113,57,33,11,5,29,9,3,18,46,3,4,15,1,1,44,6,7,26,8,4,5,0,3,4,9,0,2,10,7,23,17,14,16,5,6,0,6,3,2,4,9,4,1,8,14,6,2,2
기술,59,96,23,34,23,26,12,7,1,47,15,3,16,10,10,25,6,40,14,4,0,23,8,0,4,0,22,0,3,4,4,6,13,3,3,1,9,6,4,2,1,14,13,11,1,14,4,8,5,5
현실,39,56,27,22,17,25,11,0,0,8,8,1,13,4,9,22,7,14,22,2,0,18,0,0,1,1,2,0,29,5,1,8,4,0,3,20,2,5,3,0,2,5,4,4,0,4,9,5,0,5
학습,117,86,14,15,9,3,24,1,14,8,17,1,2,11,0,2,26,4,2,44,4,3,1,0,2,2,8,0,3,4,4,9,12,39,12,2,10,2,3,2,1,0,13,1,1,2,1,6,3,2
개발자,60,8,18,15,4,6,5,2,0,15,0,0,11,8,3,0,8,0,0,4,54,2,19,0,0,0,0,0,0,9,4,2,2,0,0,1,2,0,0,0,1,22,2,6,0,0,3,0,0,0
미래,53,69,22,30,23,22,14,0,0,18,14,0,14,5,9,25,4,23,18,3,2,32,4,0,0,7,11,0,15,3,6,1,3,0,4,9,5,10,0,0,2,7,1,5,0,3,0,9,7,4
정도,37,21,25,14,9,18,5,11,10,14,9,26,7,10,5,3,5,8,0,1,19,4,12,2,3,1,0,4,0,7,7,2,0,0,6,0,3,2,3,1,2,8,5,6,1,3,3,1,1,0
한글,7,0,3,3,2,2,11,5,29,0,1,15,1,2,0,0,0,0,0,0,0,0,2,42,26,1,0,31,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,1,0,0,0
의미,15,13,20,4,34,6,16,5,88,0,2,45,2,2,1,1,3,4,1,2,0,0,3,26,204,0,1,97,0,0,1,0,0,8,4,0,10,1,1,3,9,0,1,1,0,3,0,4,0,0
지배,64,78,13,17,5,0,2,0,1,0,10,1,4,4,16,7,4,0,1,2,0,7,1,1,0,36,1,0,1,1,3,1,3,1,2,2,1,5,0,0,1,1,1,0,1,0,1,5,0,1
기계,52,147,9,79,7,13,16,1,2,2,10,16,12,5,3,3,9,22,2,8,0,11,0,0,1,1,126,0,1,1,0,3,7,2,7,3,4,3,8,0,0,8,11,8,0,10,2,1,1,1
문장,4,5,9,7,19,24,24,2,111,0,0,56,0,2,0,2,0,0,0,0,0,0,4,31,97,0,0,198,0,0,1,0,0,0,0,0,9,0,0,15,24,2,0,0,1,0,1,3,0,0
영화,62,30,6,6,5,14,7,28,0,2,5,1,2,1,3,1,2,3,29,3,0,15,0,0,0,1,1,0,12,9,3,6,2,1,3,15,15,2,8,0,0,0,4,1,0,2,2,3,2,4
개발,87,63,20,15,4,35,19,32,0,9,17,3,6,14,6,3,10,4,5,4,9,3,7,0,0,1,1,0,9,16,8,4,9,0,9,2,14,2,1,6,0,5,16,2,0,2,0,2,1,4
모르,48,34,35,13,3,8,6,3,1,4,6,2,2,6,2,1,7,4,1,4,4,6,7,4,1,3,0,1,3,8,0,4,4,1,5,2,4,2,3,0,4,1,4,1,1,4,6,4,4,2
문제,45,22,44,15,6,10,5,5,0,0,4,2,5,2,1,1,23,6,8,9,2,1,2,0,0,1,3,0,6,4,4,42,7,11,6,0,5,0,10,0,2,0,0,5,0,3,24,0,5,3
통제,168,134,16,24,5,6,29,0,0,6,23,0,1,4,3,1,17,13,4,12,2,3,0,0,0,3,7,0,2,9,4,7,54,2,6,4,4,3,0,0,0,0,32,1,0,3,1,4,5,1
데이터,53,23,7,11,4,4,2,16,4,5,9,2,0,11,5,1,14,3,0,39,0,0,0,0,8,1,2,0,1,0,1,11,2,58,13,0,5,0,15,0,0,0,4,0,0,2,0,0,1,1
결국,89,80,27,6,4,10,7,5,0,2,11,3,5,15,2,1,16,3,3,12,0,4,6,0,4,2,7,0,3,9,5,6,6,13,12,0,6,2,9,1,0,2,7,1,1,9,0,2,3,2
터미네이터,26,20,1,3,1,0,8,0,0,1,8,1,0,0,0,4,5,1,20,2,1,9,0,0,0,2,3,0,15,2,2,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1
사용,132,35,22,10,1,8,19,89,13,5,8,1,1,2,1,0,6,9,2,10,2,5,3,0,10,1,4,9,15,14,4,5,4,5,6,0,50,3,11,0,3,0,11,2,0,1,2,3,3,8
로봇,23,30,9,1,3,5,5,0,1,7,5,0,8,5,8,5,0,6,5,2,0,10,2,0,1,5,3,0,2,2,2,0,3,0,2,1,3,14,0,0,0,5,2,1,0,0,0,0,1,1
정보,32,17,7,15,1,2,4,8,0,2,2,1,5,4,4,2,6,4,3,3,0,0,3,0,1,0,8,0,8,1,3,10,0,15,9,0,11,0,38,0,2,1,5,0,2,3,7,4,6,0
암호,17,0,6,3,3,4,17,2,11,1,0,2,4,10,0,0,3,2,0,2,0,0,1,12,3,0,0,15,0,6,0,0,0,0,1,0,0,0,0,18,10,0,0,0,14,3,0,0,0,0
한국,51,0,22,1,2,4,16,4,34,2,0,1,7,3,1,5,2,1,2,1,1,2,2,0,9,1,0,24,0,0,4,2,0,0,0,0,3,0,2,10,34,0,0,1,2,1,4,1,1,0
대체,64,48,12,19,4,14,3,0,0,13,1,1,4,3,5,11,4,14,5,0,22,7,8,0,0,1,8,2,0,5,1,0,0,0,2,0,0,5,1,0,0,12,3,4,0,2,0,2,3,3
판단,111,124,3,22,0,27,13,0,0,8,8,2,2,4,1,0,9,13,4,13,2,1,5,0,1,1,11,0,4,16,4,0,32,4,7,2,11,2,5,0,0,3,50,2,0,1,1,1,0,0
속도,45,24,10,9,3,6,5,10,0,22,3,1,1,2,1,3,4,11,4,1,6,5,6,0,1,0,8,0,1,2,1,5,1,0,1,0,2,1,0,0,1,4,2,12,0,5,2,1,1,2
한국인,16,2,0,1,5,4,8,4,6,0,2,3,1,1,1,0,1,1,0,1,0,0,1,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,14,2,0,0,0,4,1,0,0,0,0
존재,48,60,11,17,6,13,6,1,0,16,7,1,9,11,1,0,8,14,4,2,0,3,3,0,3,0,10,0,2,2,4,3,3,2,9,0,1,0,3,3,1,2,1,5,1,10,1,1,0,0
능력,29,21,51,18,1,3,0,1,0,3,4,5,5,8,0,0,14,4,9,1,3,0,3,1,0,1,2,1,2,0,6,24,1,0,0,0,2,0,7,0,4,0,1,2,0,1,44,1,2,0
지금,43,31,7,10,7,6,8,1,1,9,14,0,4,5,4,11,6,8,5,6,0,9,1,0,4,5,1,3,3,2,4,0,4,0,2,1,3,0,4,0,1,2,1,1,0,1,1,4,5,2
사회,43,36,15,10,9,13,6,1,2,6,8,0,1,4,5,6,2,5,0,3,0,7,1,0,0,0,1,0,2,1,4,5,5,1,3,0,3,1,6,0,1,3,0,1,0,0,2,5,8,4
나오,46,31,9,7,5,2,6,19,2,2,4,1,2,1,1,5,2,5,5,2,0,4,0,0,0,1,1,0,4,4,2,3,1,1,2,1,8,1,0,0,0,3,0,2,0,0,0,2,4,0
